id,category,position,title,description,price,state,labels,originalImageUrl,localImagePath
10991140,브런치,1,내맘대로 브런치(Basic waffle),"벨기에 리에주 방식의 와플로 겉은 바삭 속은 촉촉한 벨기에 와플,원하는 메뉴를 담아서 나만의 유니크한 메뉴를 만드세요.(Basic waffle)",6000,ON_SALE,인기,https://place-static.tossplace.com/public/live/PUBLIC/2026-02-15/ae758868-33f4-4ee7-96ae-db9f449a9b8f,assets/toss-menu/images/001-브런치-내맘대로-브런치-basic-waffle.jpg
11075478,브런치,2,여왕의접시3(Coffee Set),"[10:30~21:00] 벨기에 리에주 방식의 바삭한 와플, 프랑스 앵거 무염버터로 만든 부드러운 스크램블, 신선한 방울 토마토, 커피를 곁들인 우아한 한 접시.",14500,ON_SALE,인기,https://place-static.tossplace.com/public/live/PUBLIC/2026-03-04/9f9e4d0e-8f27-4d4e-a18b-769c79f6f55c,assets/toss-menu/images/002-브런치-여왕의접시3-coffee-set.jpg
11075904,브런치,3,여왕의접시4(아보카도)Coffee Set,"[10:30~21:00] 숲속의 버터 아보카도와 벨기에 리에주 방식의 바삭한 와플, 프랑스 앵거 무염버터로 만든 부드러운 스크램블, 신선한 방울 토마토, 커피를 곁들인 우아한 한 접시.",16500,ON_SALE,인기,https://place-static.tossplace.com/public/live/PUBLIC/2026-03-03/a192cd00-dc2a-41b4-ad02-47f2f7585ea1,assets/toss-menu/images/003-브런치-여왕의접시4-아보카도-coffee-set.jpg
11191767,브런치,4,여왕의 만찬(Coffee Set),"[10:30~21:00] 숲속의 버터 아보카도와 벨기에 리에주 방식의 바삭한 와플, 프랑스 앵거 무염버터로 만든 부드러운 스크램블, 신선한 방울 토마토, 저먼 제로 부어스트 소시지, 식물성단백질 그린빈과  커피를 곁들인 우아한 한 접시. ",20500,ON_SALE,인기,https://place-static.tossplace.com/public/live/PUBLIC/2026-03-10/41fec0aa-9e8f-43c8-9330-2a05866d2a0c,assets/toss-menu/images/004-브런치-여왕의-만찬-coffee-set.jpg
10983172,브런치,7,에그돔 스크램블,부드러운 스크램블 에그에 식감좋은 그린빈과 감칠맛의 게맛살을 넣어 영양이 균형잡힌 메뉴입니다,8000,ON_SALE,인기,https://place-static.tossplace.com/public/live/PUBLIC/2026-02-13/dd7c174b-8a27-4881-8e14-3dade2e4ada9,assets/toss-menu/images/005-브런치-에그돔-스크램블.jpg
10999047,브런치,8,[브런치]커피,,5000,ON_SALE,,https://place-static.tossplace.com/public/live/PUBLIC/2026-02-15/c3afe580-fd6a-438e-816f-8dfb5c702a6c,assets/toss-menu/images/006-브런치-브런치-커피.jpg
10983319,브런치,9,[브런치]오렌지주스,,4000,ON_SALE,신규,https://place-static.tossplace.com/public/live/PUBLIC/2026-02-14/c213b3d6-2de5-4710-b0df-bfe86181c2c3,assets/toss-menu/images/007-브런치-브런치-오렌지주스.jpg
11057081,브런치,13,발사믹 글레이즈,"평범한 요리에 근사한 마침표를 찍어주는 마법의 소스!
샐러드, 스테이크에 쓱 뿌리는 순간 깊고 진한 풍미가 살아납니다.",1500,ON_SALE,,https://place-static.tossplace.com/public/live/PUBLIC/2026-02-20/16c9c422-63d6-4a72-925d-c2ba4d1ce2ed,assets/toss-menu/images/008-브런치-발사믹-글레이즈.jpg
13040656,브런치,15,에그 3개 스크램블,"국산 계란 3개에 앵거 무염 버터를 듬뿍 넣어 풍미를 가둔, 보들 보들한 스크램블",8000,ON_SALE,신규,https://place-static.tossplace.com/public/live/PUBLIC/2026-04-28/2e2fe351-43c8-4d9c-953c-88babf6b09b3,assets/toss-menu/images/009-브런치-에그-3개-스크램블.jpg
9479299,벨기에와플,1,[시즌한정]딸기왕창와플,"클루미가 “앗!” 하며 딸기를 와르르—
왕창 넣어버린 딸기폭탄 와플 🍓💘",12000,ON_SALE,인기,https://place-static.tossplace.com/public/live/PUBLIC/2026-04-09/79ca2a21-1668-4235-af21-4431110ebb67,assets/toss-menu/images/010-벨기에와플-시즌한정-딸기왕창와플.jpg
